Version,Nodes,Best accuracy,Recall,Specificity,Precision,Cross-validation mean score
2,512,0.7917,0.7143,0.9,0.9091,0.6256
2,1024,0.7083,0.6429,0.8,0.8182,0.5933
2,2048,0.7917,0.875,0.75,0.6364,0.5678
2,4096,0.7083,0.6429,0.8,0.8182,0.5878
3,512,0.6771,0.6967,0.6429,0.7727,0.582
3,1024,0.6146,0.6078,0.6222,0.6458,0.6379
3,2048,0.6875,0.7727,0.6154,0.6296,0.6042
3,4096,0.7083,0.6429,0.8,0.8182,0.5878
4,512,0.7188,0.7121,0.7333,0.8545,0.6524
4,1024,0.6146,0.6078,0.6222,0.6458,0.6563
4,2048,0.7083,0.7097,0.7059,0.8148,0.6624
4,4096,0.7917,0.7143,0.9,0.9091,0.6989
5,512,0.7083,0.6429,0.8,0.8182,0.5622
5,1024,0.7083,0.7,0.7143,0.6364,0.5833
5,2048,0.625,0.5625,0.75,0.8182,0.7022
5,4096,0.7083,0.625,0.875,0.9091,0.6489
