Version,Nodes,Best accuracy,Recall,Specificity,Precision,Cross-validation mean score
2,512,0.625,0.6667,0.5,0.8,0.3167
2,1024,0.5,0.6,0.3333,0.6,0.325
2,2048,0.375,0.5,0.25,0.4,0.35
2,4096,0.75,0.7143,1.0,1.0,0.2167
3,512,0.7188,0.7027,0.7407,0.7879,0.4957
3,1024,0.5625,0.5652,0.5556,0.7647,0.4994
3,2048,0.4375,0.4545,0.4,0.625,0.6262
3,4096,0.75,0.7143,1.0,1.0,0.2167
4,512,0.625,0.5957,0.7059,0.8485,0.5354
4,1024,0.6562,0.6875,0.625,0.6471,0.5538
4,2048,0.5625,0.5455,0.6,0.75,0.6452
4,4096,0.625,0.6667,0.5,0.8,0.4667
5,512,0.75,0.8,0.6667,0.8,0.4167
5,1024,0.5,0.6,0.3333,0.6,0.4
5,2048,0.375,0.5,0.25,0.4,0.2917
5,4096,0.625,0.75,0.5,0.6,0.3833
